comparison_id,anonymous_image_id,evaluation_configuration,preprocessing_condition,attribution_method,resolution,model_architecture,pearson_correlation,ssim,correlation_drift,structural_drift,edi_primary,cosine_similarity,spearman_correlation,mean_squared_error,mean_absolute_error,root_mean_squared_error,normalized_mean_squared_error,lpips_distance
cmp_00059,img_7e272f4220875f6d,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9973217249,0.9970482588,0.00133913754999998,0.00295174119999997,0.00214543937499997,,,,,,,
cmp_00060,img_7f41d29dfeff8d3f,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9990029931,0.9988840222,0.000498503450000021,0.00111597779999995,0.000807240624999983,,,,,,,
cmp_00061,img_8e2da1d8cc711ad4,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992440343,0.9989036322,0.000377982850000014,0.0010963678,0.000737175325000006,,,,,,,
cmp_00062,img_9317ad24ae147b52,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9987549782,0.9984183311,0.000622510899999984,0.0015816689,0.00110208989999999,,,,,,,
cmp_00063,img_942a778f90e657e3,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9982534647,0.9981171489,0.000873267650000009,0.00188285109999997,0.00137805937499999,,,,,,,
cmp_00064,img_9d7e564a9d74cec9,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9991776347,0.9991053939,0.000411182650000008,0.000894606100000028,0.000652894375000018,,,,,,,
cmp_00065,img_9ddc1ea6652b06b5,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992489219,0.9990537763,0.000375539049999984,0.000946223699999971,0.000660881374999978,,,,,,,
cmp_00066,img_a1194ab381b0b785,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9995170236,0.9990618229,0.000241488199999973,0.000938177099999993,0.000589832649999983,,,,,,,
cmp_00067,img_a6c3ed514b62eaef,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9991906881,0.9990736842,0.000404655949999999,0.000926315800000022,0.00066548587500001,,,,,,,
cmp_00068,img_b81212402bea4a9d,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9914301038,0.9888818264,0.00428494810000002,0.0111181736,0.00770156085000001,,,,,,,
cmp_00069,img_b9bce57aec8cb979,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9994890094,0.9989612699,0.000255495300000019,0.0010387301,0.000647112700000008,,,,,,,
cmp_00070,img_ba9667ceda2b0a74,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992294312,0.9990948439,0.000385284400000019,0.000905156099999971,0.000645220249999995,,,,,,,
cmp_00071,img_c174cad9788cc50c,APTOS,diffusion,eigencam,160,EfficientNetB0,0.998542726,0.9974541068,0.000728636999999976,0.00254589319999998,0.00163726509999998,,,,,,,
cmp_00072,img_cccfbe89a56c00a0,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992850423,0.9988314509,0.000357478849999981,0.00116854909999997,0.000763013974999976,,,,,,,
cmp_00073,img_cd7797408463b6be,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9988545179,0.9974427223,0.000572741049999992,0.00255727770000003,0.00156500937500001,,,,,,,
cmp_00074,img_d494ef8e5e4b2ff8,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9985610843,0.998499155,0.000719457849999994,0.00150084500000003,0.00111015142500001,,,,,,,
cmp_00075,img_d6ac23d44b304cb7,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9981796145,0.997320354,0.000910192749999983,0.00267964600000004,0.00179491937500001,,,,,,,
cmp_00076,img_dea1e26519ce6b6e,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9978934526,0.9972089529,0.00105327370000002,0.0027910471,0.00192216040000001,,,,,,,
